artist_name,spotify_id,genres,popularity,followers
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,desi hip hop;filmi;tamil hip hop,85,35010297
Pravin Mani,2ccgDZHHVlcOssv1y8AkOc,tamil indie,44,22477
Vaishali Sriprathap,4JiUBiEwFnd8x2tSvuMrUQ,,10,65
Anivee,4geIqmrfQoa4HDIF68vgiy,tamil indie,39,3328
Alvin Bruno,1YYlKQ8S26WxCvXg1ULKvC,tamil indie,40,3456
Bharath Sankar,7jFE7CFeIIX7JhA8HwNH54,kollywood;tamil pop,40,13166
Kabilan,2MxriAGmcX5lgQt3SFyru6,tamil pop,61,73991
CM Lokesh,2sXvpELsZHmhvSAmcWgNTp,,15,8
Stan & Sam,2zeEeBkAKWjSVenQDBHsGM,,29,1923
Benny Dayal,61if35zz1W11GejEkxTLEQ,filmi;modern bollywood,72,4530643
Leon James,0wv5i0ds2z040yx7oL6UZy,tamil pop,61,426097
Bappi Lahiri,2jqTyPt0UZGrthPF4KMpeN,classic bollywood;filmi;modern bollywood,61,3038518
Yashraj Kapil,5FVGmxlFLT1qhfFnpCsvvn,,29,3002
Kasarla Shyam,4wxBWsFkyA2K1BMBFj91qt,,62,65475
Anjaan,5sifufajls8Q6k04Y4F8mH,modern bollywood,68,73478
Harish Hwarkling,4hHiPRvjtFQYwR33WPFwLy,,31,3461
Manisha Eerabathini,7uTF7CgQzu55VR10qqG2yC,telugu indie,50,20834
Sampath GK,6u3gttrS6xGDiQGEUVSRls,,19,411
Madley Blues,4eDJl1hQIas8ywRYS1C55F,tamil indie,19,4429
Vignesh Shivan,1yzwPGlvrRLlhYkCRYde5z,tamil pop,57,55759
Vishal Mishra,5wJ1H6ud777odtZl5gG507,desi pop;filmi;modern bollywood,78,6151563
KS Abhishek,2qyLcNy946Ywef0ZnEnq0M,,30,4155
Ramjeevan,2rJdDKIEEQl7eHZETNTURp,,7,44
Karthik Netha,3o7GGc9KjbLzTCwOq9WL55,,63,5033
Thaman S,2FgHPfRprDaylrSRVf1UlN,new beat;tamil pop,73,8263244
The Independeners,1ZaBov637MCZiuYMhEBGUY,,39,7405
Jeruson,08z8cYk0E56BpT6vSS04ss,,36,3524
Kumaran Sivamani,5Dt1XRf9PoTbIzHiRIVgVj,,15,102
Vivek,25Pa1Vz1ZuTHmXPiYeMcgx,tamil pop,65,416435
Arivu,7rVV9d6vc4FLT752uRuk71,desi hip hop;tamil pop,65,287565
Dhee,1d4uM0g9449nE9TV5KeWch,clap and tap,31,21433
Santhosh Narayanan,5FVBduYaeVBb6JIghza7v6,filmi;tamil pop,73,2907454
Muthamil,00qjMsqhac19yBB1Um8BU2,,39,2755
Priya Mali,5PMrnGmlpH0l7Uc9DnnatM,tamil pop,53,18720
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,filmi;modern bollywood,91,131189332
Shilpa Rao,19LIHDDSHBD5NyYHI3gpzB,filmi;modern bollywood,78,2565551
Hermus,5eyUjuVFkrhhSeOnjf0QZe,,22,943
Kumaar,0m3D4grap8VFSzbJMqgNVk,modern bollywood,73,528920
Sreerama Chandra,2bfyLSCw72lQ5qoD8cdVBB,tollywood,59,379392
Rakshita Suresh,76Z6SMQPibr8qI24AhdvbJ,tamil pop,61,78373
Dhvani Bhanushali,1OPqAyxsQc8mcRmoNBAnVk,desi pop;filmi;modern bollywood,68,5911657
Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,desi pop;filmi;modern bollywood,79,4642845
Nikhita Gandhi,3tPQOjkxO3mrYrrgkTeXgH,desi pop;modern bollywood,70,793455
Super Subu,6sXT8Cggm4tmoxhVjaUVs0,,56,37815
Thalapathy Vijay,0fhunuOz2OuOEr3YK5ctSm,kollywood;tamil pop,61,1245349
Asal Kolaar,4b1WCDqAVVgxK7KozLkOqc,tamil pop,62,326524
Vishal Dadlani,6CXEwIaXYfVJ84biCxqc9k,filmi;modern bollywood,75,11891036
Arunraja Kamaraj,3jw6WnDlhrKkNjgcp8JGQe,kollywood;tamil pop,57,48203
Ananthakrrishnan,07ziSY1M5vTjGnNtW9WNeR,tamil pop,49,12407
Lothika,7yZDrVInKssNCaZkAkQGTX,desi pop,55,20302
Irshad Kamil,3GdSQUH1BRtl9UrrtuwJlP,modern bollywood,71,122404
Sid Sriram,7qjJw7ZM2ekDSahLXPjIlN,filmi,76,17388421
Jonita Gandhi,00sCATpEvwH48ays7PlQFU,filmi;modern bollywood,72,1388901
Badshah,0y59o4v8uw5crbN9M3JiL1,desi hip hop;desi trap;filmi;modern bollywood,78,27559432
Shakthisree Gopalan,7zAp0JbkavFg2rcMGvANtP,filmi;modern bollywood;tamil pop,69,998209
Siddharth Basrur,6PtoffEX0RiktNdmCeuWkl,modern bollywood,60,79247
Raja Kumari,5cBFMoMgcAt03YL2r0tS25,desi hip hop,66,312847
Deepthi Suresh,4PY2xnTu90K0hvkgcljRJl,tamil pop,66,41867
Thamarai,6z3KmBBSYseegqLrRZXZxe,tamil pop,57,66222
Neeti Mohan,3ZxZ03fj3tXBZHZWzvaLSM,filmi;modern bollywood,73,4725313
Sean Roldan,3TUNkjIHkcvEy9oeK2D4hU,filmi;tamil pop,67,678050
