artist_name
Anirudh Ravichander
Pravin Mani
Vaishali Sriprathap
Anivee
Alvin Bruno
Bharath Sankar
Kabilan
CM Lokesh
Stan & Sam
Benny Dayal
Leon James
Bappi Lahiri
Yashraj Kapil
Kasarla Shyam
Anjaan
Harish Hwarkling
Manisha Eerabathini
Sampath GK
Madley Blues
Vignesh Shivan
Vishal Mishra
KS Abhishek
Ramjeevan
Karthik Netha
Thaman S
The Independeners
Jeruson
Kumaran Sivamani
Vivek
Arivu
Dhee
Santhosh Narayanan
Muthamil
Priya Mali
Arijit Singh
Shilpa Rao
Hermus
Kumaar
Sreerama Chandra
Rakshita Suresh
Dhvani Bhanushali
Tanishk Bagchi
Nikhita Gandhi
Super Subu
Thalapathy Vijay
Asal Kolaar
Vishal Dadlani
Arunraja Kamaraj
Ananthakrrishnan
Lothika
Irshad Kamil
Sid Sriram
Jonita Gandhi
Badshah
Shakthisree Gopalan
Siddharth Basrur
Raja Kumari
Deepthi Suresh
Thamarai
Neeti Mohan
Sean Roldan
Sindhuja Srinivasan
Sri Sai Kiran
Abd El Fattah Grini
Jamila El Badaoui
Sri Krishna
Saicharan Bhaskaruni
Adithya RK
Dhanush
Heisenberg
L. V. Revanth
Roll Rida
Ritesh G Rao
Shweta Mohan
Vijay Yesudas
Dinker kalvala
Bhaskarabhatla Ravi Kumar
Anthony Daasan
Gana Balachandar
Alisha Thomas
Ajesh
Varadaraj Chikkaballapura
Nakash Aziz
Kamal Haasan
J.V. Sudhanshu
Chandra Bose
S. P. Balasubrahmanyam
Shruti Haasan
Yo Yo Honey Singh
Hiphop Tamizha
Yogi B
MALIII
Raqueeb Alam
Hanuman
Lokeshwar Edara
Niranjana Ramanan
Sahithi Chaganti
Anantha Krishnan
Srinivasa Mouli
Sanjeeta Bhattacharya
Navinesh Kumar
Heart Killer Beats
Abhishek Martyn
DJ Harshit Shah
DJ MHD IND
Saithis
Aravind Polo
Stan
Sam
Aelo
Yuvabharathi
Raahi
Kamal Eleven
Arjun Vijay
Mahalingam
Pushavanam Kuppusamy
Sivakarthikeyan
Deepak Ram
S. Janaki
M.M.Manasi
Anitha Karthikeyan
DJ Thirumal
Vivek (Lyricist)
Ravi G
Shashaa Tirupati
Prudhvi Chandra
Ramya Behara
Rahul Sipligunj
Arun Kaundinya
Sunidhi Chauhan
Sanjana Kalmanje
Rokesh
Saketh Komanduri
Manju Sri
Siddharth Mahadevan
Heizenberg
Jubin Nautiyal
Raftaar
Gaana Balachandar
Bjorn Surrao
Mayukh Velagapudi
Sam Vishal
Justin Prabhakaran
Srinivasa Moorthy
Inno Genga
Vivek Siva
Yashwanth Nag
Rajashri Sudhakar
Nakul Abhyankar
Mohit Chauhan
Akshay The One
Raathee
Yuvan Shankar Raja
CB Vinith
D. Imman
Ravi Shankar
Bashermax
Ghibran
Teejay
Mervin Solomon
Kalpana
Richard
Radha Ravi
Pradeep Kumar
Paravai Muniyamma
Mano
Jassie Gift
Hemachandra Vedala
Srinidhi Venkatesh
Shreya Ghoshal
Papon
Maria Roe Vincent
Malavika
Suchitra
Andrea Jeremiah
Hard Kaur
Country Chicken
Chaitra
Vineeth Sreenivasan
Arjun Kanungo
Deva
Sam C.S.
Velmurugan
Harish Swaminathan
Sathyaprakash
Deepak Blue
Santosh Hariharan
Aravind Srinivas
Ranjith Govind
Narmatha
Pooja
Poorvi Koutish
Nadisha Thomas
Jithin Raj
Diwakar
DIVINE
Balan Kash
Sarath Santosh
Guna
Arjun
Charles Bosco
Sooraj Santhosh
Srimathumitha
Chinna Ponnu
Magizhini Manimaaran
Madhan Karky
Haricharan
S.P. Abhishek
Maalavika Sundar
Silambarasan TR
Anand Aravindakshan
Santhosh Dhayanidhi
Chennai Boys Choir
Rajesh Murugesan
Sunitha Sarathy
Mandolin Seenu
Chinmayi
Pragathi
Pradeep
Yugabharathi
K. J. Yesudas
Pa. Vijay
Shankar Mahadevan
Chandrabose
Nivas
Jai Srinivas
Vanamali
Karthik
Vennelakanti
Bhuvana Chandra
Bole
Roop Kumar Rathod
Ananth
Flute Navin
Adnan Sami
Shamitha Malnad
Shree Mani
Navz-47
SVDP
Gana Francis
Dhvani Kailas
Santhosh Hariharan
Meenakshi Elayaraja
Anurag Kulkarni
ofRO
Shan Vincent De Paul
Meenakshi Santhosh
Aditya Ravindran
Dhruv Vikram
Priya Hemesh
Amira Gill
Yj music
Kausar Munir
Radar With a K
Divya Ramani
Vijaynarain
Mayank Kapri
Pavithra Chari
Siddharth
Joe Paul
S VIII
M Pavanjay
Santhosh Varma
Na.Muthukumar
Pramod Maravanthe
Dj Pavan Official
Durai
V.M. Mahalingam
Shenbagaraj
Pavithra Ramesh
Karthika Vaidyanathan
Vaigaipuyal Vadivelu
Asal Kolar
Anthakudi Ilayaraja
Brindha
Karumathur Manimaaran
STEVIE
Kidakuzhi Mariyammal
Gana Muthu
Isaivani
Gana Ulagam Dharani
Allan Preetham
GKB
Reetha Anthony
Ramanathapuram Marungan Melam Team
Ananthu
Susha
